geração,Id_Barra,Nome_Barra,Tamanho Geometrico (cm),Tamanho de Corte (cm),Fitness,No1_X,No1_Y,No2_X,No2_Y
18,6,GH,9.8163,13.8163,0.2012,11.7233,5.6263,21.5303,6.0534
18,7,HI,9.8163,13.8163,0.2012,21.5303,6.0534,31.3374,5.6263
18,8,IJ,11.7254,15.7254,0.2012,31.3374,5.6263,43.0607,5.8479
18,9,AF,5.8479,7.8479,0.2012,0.0,0.0,0.0,5.8479
18,10,GB,5.6263,9.6263,0.2012,11.7233,5.6263,11.7233,0.0
18,11,HC,6.0534,10.0534,0.2012,21.5303,6.0534,21.5303,0.0
18,12,ID,5.6263,9.6263,0.2012,31.3374,5.6263,31.3374,0.0
18,13,EJ,5.8479,7.8479,0.2012,43.0607,0.0,43.0607,5.8479
18,14,FB,13.1009,17.1009,0.2012,0.0,5.8479,11.7233,0.0
18,15,GC,11.3063,15.3063,0.2012,11.7233,5.6263,21.5303,0.0
18,16,IC,11.3063,15.3063,0.2012,31.3374,5.6263,21.5303,0.0
18,17,JD,13.1009,17.1009,0.2012,43.0607,5.8479,31.3374,0.0
19,1,AB,11.7619,13.7619,0.2065,0.0,0.0,11.7619,0.0
19,2,BC,9.767,13.767,0.2065,11.7619,0.0,21.5289,0.0
19,3,CD,9.767,13.767,0.2065,21.5289,0.0,31.296,0.0
19,4,DE,11.7619,13.7619,0.2065,31.296,0.0,43.0579,0.0
19,5,FG,11.7644,15.7644,0.2065,0.0,5.9867,11.7619,5.7449
19,6,GH,9.7751,13.7751,0.2065,11.7619,5.7449,21.5289,6.141
19,7,HI,9.7751,13.7751,0.2065,21.5289,6.141,31.296,5.7449
19,8,IJ,11.7644,15.7644,0.2065,31.296,5.7449,43.0579,5.9867
19,9,AF,5.9867,7.9867,0.2065,0.0,0.0,0.0,5.9867
19,10,GB,5.7449,9.7449,0.2065,11.7619,5.7449,11.7619,0.0
19,11,HC,6.141,10.141,0.2065,21.5289,6.141,21.5289,0.0
19,12,ID,5.7449,9.7449,0.2065,31.296,5.7449,31.296,0.0
19,13,EJ,5.9867,7.9867,0.2065,43.0579,0.0,43.0579,5.9867
19,14,FB,13.1978,17.1978,0.2065,0.0,5.9867,11.7619,0.0
19,15,GC,11.3313,15.3313,0.2065,11.7619,5.7449,21.5289,0.0
19,16,IC,11.3313,15.3313,0.2065,31.296,5.7449,21.5289,0.0
19,17,JD,13.1978,17.1978,0.2065,43.0579,5.9867,31.296,0.0
20,1,AB,11.7619,13.7619,0.2065,0.0,0.0,11.7619,0.0
20,2,BC,9.767,13.767,0.2065,11.7619,0.0,21.5289,0.0
20,3,CD,9.767,13.767,0.2065,21.5289,0.0,31.296,0.0
20,4,DE,11.7619,13.7619,0.2065,31.296,0.0,43.0579,0.0
20,5,FG,11.7644,15.7644,0.2065,0.0,5.9867,11.7619,5.7449
20,6,GH,9.7751,13.7751,0.2065,11.7619,5.7449,21.5289,6.141
20,7,HI,9.7751,13.7751,0.2065,21.5289,6.141,31.296,5.7449
20,8,IJ,11.7644,15.7644,0.2065,31.296,5.7449,43.0579,5.9867
20,9,AF,5.9867,7.9867,0.2065,0.0,0.0,0.0,5.9867
20,10,GB,5.7449,9.7449,0.2065,11.7619,5.7449,11.7619,0.0
20,11,HC,6.141,10.141,0.2065,21.5289,6.141,21.5289,0.0
20,12,ID,5.7449,9.7449,0.2065,31.296,5.7449,31.296,0.0
20,13,EJ,5.9867,7.9867,0.2065,43.0579,0.0,43.0579,5.9867
20,14,FB,13.1978,17.1978,0.2065,0.0,5.9867,11.7619,0.0
20,15,GC,11.3313,15.3313,0.2065,11.7619,5.7449,21.5289,0.0
